iso_code;continent;location;date;total_cases;new_cases;new_cases_smoothed;total_deaths;new_deaths;new_deaths_smoothed;total_cases_per_million;new_cases_per_million;new_cases_smoothed_per_million;total_deaths_per_million;new_deaths_per_million;new_deaths_smoothed_per_million;reproduction_rate;icu_patients;icu_patients_per_million;hosp_patients;hosp_patients_per_million;weekly_icu_admissions;weekly_icu_admissions_per_million;weekly_hosp_admissions;weekly_hosp_admissions_per_million;new_tests;total_tests;total_tests_per_thousand;new_tests_per_thousand;new_tests_smoothed;new_tests_smoothed_per_thousand;positive_rate;tests_per_case;tests_units;total_vaccinations;people_vaccinated;people_fully_vaccinated;new_vaccinations;new_vaccinations_smoothed;total_vaccinations_per_hundred;people_vaccinated_per_hundred;people_fully_vaccinated_per_hundred;new_vaccinations_smoothed_per_million;stringency_index;population;population_density;median_age;aged_65_older;aged_70_older;gdp_per_capita;extreme_poverty;cardiovasc_death_rate;diabetes_prevalence;female_smokers;male_smokers;handwashing_facilities;hospital_beds_per_thousand;life_expectancy;human_development_index
FIN;Europe;Finland;20.05.2021;90946.0;259.0;202.0;929.0;0.0;-0.143;16414.118;46.745;36.457;167.668;0.0;-0.026;0.97;;;;;;;;;16366.0;4873226.0;879.53;2.954;15143.0;2.733;0.013;75.0;tests performed;2533353.0;2201667.0;331686.0;64650.0;36371.0;45.72;39.74;maj.99;6564.0;52.31;5540718.0;18.136;42.8;21.228;13.264;40585.721;;153.507;maj.76;18.mar;22.cze;;mar.28;81.91;0.938
FRA;Europe;France;20.05.2021;5629983.0;15415.0;13103.143;108475.0;133.0;152.0;83327.839;228.153;193.936;1605.509;1.968;lut.25;0.84;;;;;;;;;424787.0;;;6.287;349718.0;5.176;0.038;26.mar;people tested;31564916.0;22127812.0;9621456.0;649025.0;519373.0;46.72;32.75;14.24;7687.0;54.63;67564251.0;122.578;42.0;19.718;13.079;38605.671;;86.06;kwi.77;30.sty;35.6;;maj.98;82.66;0.901
DEU;Europe;Germany;20.05.2021;3638504.0;10727.0;8625.571;87135.0;227.0;183.143;43427.222;128.032;102.95;1039.996;2.709;2.186;0.77;;;;;;;;;;;;;;;;;;43592208.0;32835679.0;10938865.0;923481.0;689544.0;52.03;39.19;13.cze;8230.0;75.0;83783945.0;237.016;46.6;21.453;15.957;45229.245;;156.139;sie.31;28.lut;33.1;;8.0;81.33;0.947
GIB;Europe;Gibraltar;20.05.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;225.0;;;;6678.0;;33691.0;3457.1;;;;;;;;;;;;79.93;
GRC;Europe;Greece;20.05.2021;385444.0;1886.0;1961.714;11641.0;54.0;53.571;36979.941;180.945;188.209;1116.851;5.181;maj.14;0.91;;;;;;;;;56523.0;9059731.0;869.201;5.423;50293.0;4.825;0.039;25.cze;samples tested;4716739.0;3044700.0;1743394.0;100993.0;91082.0;45.25;29.21;16.73;8739.0;56.48;10423056.0;83.479;45.3;20.396;14.524;24574.382;01.maj;175.695;kwi.55;35.3;52.0;;kwi.21;82.24;0.888
GGY;Europe;Guernsey;20.05.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;58743.0;;;;466.0;87.61;;;6950.0;;67052.0;;;;;;;;;;;;;;
HUN;Europe;Hungary;20.05.2021;800368.0;780.0;738.286;29380.0;51.0;58.571;82850.828;80.742;76.424;3041.298;5.279;6.063;0.6;;;;;;;;;16324.0;5236281.0;542.038;sty.69;14097.0;1.459;0.052;19.sty;tests performed;7785158.0;4898866.0;2886292.0;140758.0;96386.0;80.59;50.71;29.88;9977.0;;9660350.0;108.043;43.4;18.577;11.976;26777.561;0.5;278.296;lip.55;26.sie;34.8;;07.lut;76.88;0.854
ISL;Europe;Iceland;20.05.2021;6555.0;4.0;4.143;29.0;0.0;0.0;19208.791;11.722;gru.14;84.982;0.0;0.0;0.69;;;;;;;;;;;;;;;;;;225051.0;159327.0;76259.0;5030.0;3425.0;65.95;46.69;22.35;10037.0;;341250.0;3.404;37.3;14.431;9.207;46482.958;0.2;117.992;maj.31;14.mar;15.lut;;lut.91;82.99;0.949
IRL;Europe;Ireland;20.05.2021;254870.0;0.0;60.0;4941.0;0.0;0.571;51616.146;0.0;12.151;1000.649;0.0;0.116;0.12;;;;;;;;;;;;;;;;;;;;;;;;;;;74.07;4937796.0;69.874;38.7;13.928;8.678;67335.293;0.2;126.459;mar.28;23.0;25.lip;;lut.96;82.3;0.955
IMN;Europe;Isle of Man;20.05.2021;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;80356.0;61170.0;19186.0;1056.0;448.0;94.5;71.94;22.56;5269.0;;85032.0;147.872;;;;;;;;;;;;81.4;
